ano,mun,tipo_parto,qtde_partos,id_option_f1,nome_option_f1,id_option_f2,nome_option_f2,id_option_f3,nome_option_f3,id_option_f7,nome_option_f7
2001.0,521290,Vaginal,17,521290.0,Marzagão,12.0,Estrada de Ferro,5.0,Centro Sudeste,2001.0,2001
2001.0,521440,Vaginal,100,521440.0,Nazário,1.0,Central,4.0,Centro Oeste,2001.0,2001
2002.0,520030,Vaginal,415,520030.0,Alexânia,5.0,Pireneus,1.0,Centro Norte,2002.0,2002
2002.0,520510,Vaginal,1067,520510.0,Catalão,12.0,Estrada de Ferro,5.0,Centro Sudeste,2002.0,2002
2008.0,520840,Vaginal,153,520840.0,Goianápolis,5.0,Pireneus,1.0,Centro Norte,2008.0,2008
2002.0,521590,Vaginal,48,521590.0,Palminópolis,16.0,Oeste II,4.0,Centro Oeste,2002.0,2002
2016.0,520060,Vaginal,117,520060.0,Alto Paraíso de Goiás,7.0,Entorno Norte,3.0,Nordeste,2016.0,2016
2019.0,520120,Cesárea,6,520120.0,Anhanguera,12.0,Estrada de Ferro,5.0,Centro Sudeste,2019.0,2019
2019.0,521770,Cesárea,25,521770.0,Pontalina,3.0,Centro Sul,5.0,Centro Sudeste,2019.0,2019
2019.0,521150,Vaginal,449,521150.0,Itumbiara,17.0,Sul,5.0,Centro Sudeste,2019.0,2019
2019.0,521220,Vaginal,178,521220.0,Jussara,11.0,Rio Vermelho,4.0,Centro Oeste,2019.0,2019
2016.0,520480,Cesárea,17,520480.0,Campo Alegre de Goiás,12.0,Estrada de Ferro,5.0,Centro Sudeste,2016.0,2016
2009.0,520450,Vaginal,1043,520450.0,Caldas Novas,12.0,Estrada de Ferro,5.0,Centro Sudeste,2009.0,2009
2019.0,522170,Cesárea,15,522170.0,Uruana,14.0,São Patrício I,1.0,Centro Norte,2019.0,2019
1997.0,521487,Vaginal,36,521487.0,Nova Iguaçu de Goiás,4.0,Serra da Mesa,1.0,Centro Norte,1997.0,1997
1997.0,521910,Vaginal,138,521910.0,Santa Bárbara de Goiás,1.0,Central,4.0,Centro Oeste,1997.0,1997
2020.0,520400,Cesárea,21,520400.0,Cabeceiras,7.0,Entorno Norte,3.0,Nordeste,2020.0,2020
2004.0,520030,Vaginal,348,520030.0,Alexânia,5.0,Pireneus,1.0,Centro Norte,2004.0,2004
2010.0,520360,Vaginal,26,520360.0,Brazabrantes,1.0,Central,4.0,Centro Oeste,2010.0,2010
2010.0,520465,Vaginal,36,520465.0,Campinaçu,15.0,Norte,1.0,Centro Norte,2010.0,2010
2010.0,521230,Vaginal,81,521230.0,Leopoldo de Bulhões,3.0,Centro Sul,5.0,Centro Sudeste,2010.0,2010
2020.0,521390,Vaginal,35,521390.0,Mossâmedes,11.0,Rio Vermelho,4.0,Centro Oeste,2020.0,2020
2022.0,520017,Vaginal,44,520017.0,Água Fria de Goiás,7.0,Entorno Norte,3.0,Nordeste,2022.0,2022
2017.0,521310,Cesárea,882,521310.0,Mineiros,8.0,Sudoeste II,2.0,Sudoeste,2017.0,2017
2011.0,520630,Vaginal,30,520630.0,Cristianópolis,3.0,Centro Sul,5.0,Centro Sudeste,2011.0,2011
1998.0,522040,Vaginal,268,522040.0,São Simão,2.0,Sudoeste I,2.0,Sudoeste,1998.0,1998
2018.0,520545,Vaginal,71,520545.0,Cezarina,3.0,Centro Sul,5.0,Centro Sudeste,2018.0,2018
