mun,ano,qtd_obitos,pop_total,id_option_f1,nome_option_f1,id_option_f2,nome_option_f2,id_option_f3,nome_option_f3,id_option_f7,nome_option_f7
521640,1996.0,1,22382.0,521640,Paraúna,16,Oeste II,4,Centro Oeste,1996.0,1996
520140,1997.0,1,575312.0,520140,Aparecida de Goiânia,3,Centro Sul,5,Centro Sudeste,1997.0,1997
520590,1997.0,1,12128.0,520590,Corumbaíba,12,Estrada de Ferro,5,Centro Sudeste,1997.0,1997
520870,1997.0,1,1022758.0,520870,Goiânia,1,Central,4,Centro Oeste,1997.0,1997
522140,1997.0,1,144276.0,522140,Trindade,1,Central,4,Centro Oeste,1997.0,1997
521150,1998.0,1,80837.0,521150,Itumbiara,17,Sul,5,Centro Sudeste,1998.0,1998
521880,1998.0,1,105481.0,521880,Rio Verde,2,Sudoeste I,2,Sudoeste,1998.0,1998
521450,1999.0,1,34776.0,521450,Nerópolis,1,Central,4,Centro Oeste,1999.0,1999
520110,2000.0,1,288085.0,520110,Anápolis,5,Pireneus,1,Centro Norte,2000.0,2000
522068,2000.0,1,6219.0,522068,Simolândia,10,Nordeste II,3,Nordeste,2000.0,2000
520350,2001.0,1,16556.0,520350,Bom Jesus de Goiás,17,Sul,5,Centro Sudeste,2001.0,2001
520870,2001.0,1,1111623.0,520870,Goiânia,1,Central,4,Centro Oeste,2001.0,2001
520870,2003.0,1,2292206.0,520870,Goiânia,1,Central,4,Centro Oeste,2003.0,2003
520425,2004.0,1,8530.0,520425,Cachoeira Dourada,17,Sul,5,Centro Sudeste,2004.0,2004
520870,2005.0,1,1201007.0,520870,Goiânia,1,Central,4,Centro Oeste,2005.0,2005
521960,2005.0,1,8892.0,521960,Santa Tereza de Goiás,15,Norte,1,Centro Norte,2005.0,2005
520870,2007.0,1,1239651.0,520870,Goiânia,1,Central,4,Centro Oeste,2007.0,2007
520780,2010.0,1,11580.0,520780,Firminópolis,16,Oeste II,4,Centro Oeste,2010.0,2010
521380,2010.0,1,41460.0,521380,Morrinhos,17,Sul,5,Centro Sudeste,2010.0,2010
520870,2011.0,1,1318149.0,520870,Goiânia,1,Central,4,Centro Oeste,2011.0,2011
520870,2012.0,1,1333767.0,520870,Goiânia,1,Central,4,Centro Oeste,2012.0,2012
521010,2013.0,1,26016.0,521010,Ipameri,12,Estrada de Ferro,5,Centro Sudeste,2013.0,2013
520025,2014.0,1,181965.0,520025,Águas Lindas de Goiás,6,Entorno Sul,3,Nordeste,2014.0,2014
520425,2014.0,1,8431.0,520425,Cachoeira Dourada,17,Sul,5,Centro Sudeste,2014.0,2014
520870,2019.0,1,1500248.0,520870,Goiânia,1,Central,4,Centro Oeste,2019.0,2019
522185,2019.0,1,165049.0,522185,Valparaíso de Goiás,6,Entorno Sul,3,Nordeste,2019.0,2019
520450,2021.0,1,89467.0,520450,Caldas Novas,12,Estrada de Ferro,5,Centro Sudeste,2021.0,2021
520440,2022.0,1,19035.0,520440,Caiapônia,8,Sudoeste II,2,Sudoeste,2022.0,2022
521760,2022.0,1,90993.0,521760,Planaltina,7,Entorno Norte,3,Nordeste,2022.0,2022
521760,2023.0,1,90993.0,521760,Planaltina,7,Entorno Norte,3,Nordeste,2023.0,2023
520549,2024.0,1,70222.0,520549,Cidade Ocidental,6,Entorno Sul,3,Nordeste,2024.0,2024
520800,2024.0,1,120703.0,520800,Formosa,7,Entorno Norte,3,Nordeste,2024.0,2024
521375,2025.0,1,13193.0,521375,Montividiu,2,Sudoeste I,2,Sudoeste,2025.0,2025
